slope01,slope12,slope23,slope34,slope45,slope56,slope67
-19.78,-26.37,-52.75,-8.79,0.0,-10.99,10.99
-19.78,-32.97,-48.35,-10.99,0.0,-10.99,6.59
-24.18,-37.36,-48.35,-10.99,0.0,-6.59,10.99
-24.18,-26.37,-39.56,-35.16,0.0,0.0,8.79
-24.18,-24.18,-41.76,-32.97,10.99,-10.99,10.99
-24.18,-24.18,-41.76,-28.57,6.59,-6.59,8.79
-24.18,-24.18,-41.76,-24.18,0.0,0.0,0.0
-21.98,-17.58,-46.15,-24.18,0.0,0.0,0.0
-26.37,-10.99,-57.14,-19.78,0.0,0.0,24.18
-26.37,-8.79,-59.34,-15.38,0.0,0.0,19.78
-26.37,-8.79,-59.34,0.0,0.0,-8.79,15.38
-26.37,-6.59,-59.34,0.0,0.0,6.59,0.0
-26.37,-6.59,-54.95,0.0,0.0,6.59,0.0
-26.37,-6.59,-54.95,0.0,0.0,0.0,6.59
-26.37,-6.59,-54.95,0.0,0.0,0.0,0.0
-26.37,-6.59,-50.55,0.0,8.79,-8.79,0.0
-10.99,-19.78,-37.36,-10.99,0.0,0.0,0.0
-24.18,-21.98,-46.15,-8.79,8.79,-8.79,8.79
-24.18,-21.98,-46.15,0.0,10.99,-10.99,0.0
-24.18,-21.98,-35.16,-10.99,6.59,0.0,-10.99
-24.18,-21.98,-35.16,-6.59,0.0,0.0,-6.59
-24.18,-21.98,-35.16,0.0,0.0,0.0,0.0
-24.18,-21.98,-32.97,0.0,0.0,0.0,0.0
-24.18,-21.98,-28.57,0.0,0.0,0.0,0.0
-24.18,-21.98,-24.18,0.0,0.0,0.0,0.0
-24.18,-21.98,-19.78,0.0,0.0,0.0,0.0
-24.18,-21.98,-15.38,0.0,0.0,0.0,0.0
-24.18,-21.98,-10.99,0.0,0.0,0.0,0.0
-24.18,-21.98,-6.59,0.0,0.0,0.0,0.0
-24.18,-21.98,0.0,0.0,0.0,0.0,0.0
-24.18,-19.78,0.0,0.0,0.0,0.0,0.0
-24.18,-15.38,0.0,0.0,0.0,0.0,0.0
-24.18,-10.99,0.0,0.0,0.0,0.0,0.0
-21.98,-8.79,0.0,0.0,0.0,0.0,0.0
-17.58,-8.79,8.79,-8.79,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,10.99
0.0,-8.79,0.0,0.0,0.0,0.0,6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.38,13.19,-21.98,8.79,-8.79,0.0,0.0
-8.79,6.59,-17.58,0.0,0.0,10.99,-10.99
0.0,0.0,-13.19,0.0,0.0,6.59,-6.59
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
-10.99,-6.59,0.0,0.0,0.0,0.0,0.0
-10.99,-6.59,0.0,0.0,0.0,0.0,0.0
-13.19,-8.79,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,-8.79,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
13.19,-21.98,0.0,0.0,0.0,0.0,0.0
8.79,-17.58,0.0,0.0,0.0,0.0,0.0
0.0,-13.19,0.0,0.0,0.0,0.0,0.0
-10.99,-10.99,0.0,0.0,0.0,0.0,0.0
-8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
21.98,-13.19,-8.79,0.0,0.0,0.0,0.0
17.58,-13.19,0.0,0.0,0.0,0.0,0.0
13.19,-13.19,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,10.99,-10.99,0.0
6.59,-6.59,0.0,0.0,6.59,-6.59,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
6.59,-10.99,0.0,0.0,0.0,0.0,10.99
10.99,-21.98,0.0,0.0,0.0,0.0,6.59
13.19,-21.98,0.0,0.0,0.0,0.0,0.0
13.19,-17.58,0.0,0.0,0.0,0.0,0.0
0.0,-13.19,0.0,0.0,0.0,0.0,0.0
13.19,-21.98,0.0,0.0,0.0,0.0,0.0
6.59,-17.58,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,-8.79,0.0,0.0,0.0,0.0
-19.78,0.0,-8.79,0.0,0.0,0.0,0.0
-15.38,0.0,0.0,-8.79,0.0,10.99,-10.99
-15.38,0.0,0.0,0.0,0.0,6.59,-6.59
-8.79,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
6.59,-10.99,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
8.79,0.0,-10.99,0.0,0.0,0.0,0.0
0.0,0.0,-6.59,0.0,0.0,0.0,0.0
10.99,-8.79,0.0,0.0,0.0,10.99,-10.99
0.0,0.0,-8.79,0.0,0.0,6.59,-6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
