slope01,slope12,slope23,slope34,slope45,slope56,slope67
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
6.59,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.79,0.0,-8.79,0.0,0.0,0.0
8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,0.0,-10.99,0.0,0.0,0.0,0.0
0.0,0.0,-6.59,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,8.79,-8.79,0.0,10.99,-10.99
0.0,0.0,0.0,0.0,0.0,6.59,-6.59
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,-8.79,8.79,-8.79,0.0,10.99,-10.99
-8.79,0.0,0.0,0.0,-8.79,6.59,-6.59
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,10.99,-10.99,0.0,0.0,0.0
-8.79,0.0,21.98,-21.98,0.0,0.0,10.99
0.0,0.0,17.58,-17.58,0.0,0.0,6.59
8.79,-8.79,13.19,-13.19,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,8.79,-8.79,0.0,0.0,0.0,0.0
-8.79,0.0,6.59,-10.99,0.0,0.0,0.0
-8.79,0.0,6.59,-6.59,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
6.59,-10.99,0.0,0.0,0.0,0.0,0.0
6.59,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.99,-10.99
10.99,-10.99,0.0,0.0,0.0,6.59,-6.59
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-6.59,8.79,-8.79,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,8.79,-8.79,0.0,10.99,-10.99
-6.59,0.0,0.0,0.0,0.0,6.59,-6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,8.79,-8.79,0.0,0.0,0.0
8.79,0.0,-6.59,6.59,-10.99,0.0,10.99
10.99,24.18,85.71,-46.15,-24.18,-21.98,15.38
21.98,35.16,83.52,-65.93,-13.19,-37.36,43.96
24.18,30.77,81.32,-65.93,-13.19,-35.16,41.76
10.99,30.77,81.32,-65.93,-13.19,-30.77,37.36
10.99,30.77,81.32,-65.93,-13.19,-30.77,37.36
13.19,19.78,81.32,-65.93,-13.19,-30.77,37.36
10.99,15.38,81.32,-65.93,-13.19,-30.77,37.36
8.79,15.38,81.32,-65.93,-13.19,-30.77,37.36
8.79,15.38,81.32,-65.93,-13.19,-21.98,28.57
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-41.76,6.59
-13.19,-28.57,46.15,-6.59,-10.99,-39.56,0.0
