slope01,slope12,slope23,slope34,slope45,slope56,slope67
-6.59,0.0,26.37,-8.79,-26.37,0.0,0.0
-6.59,0.0,26.37,-8.79,-21.98,0.0,0.0
-8.79,0.0,26.37,-8.79,-17.58,0.0,0.0
-8.79,0.0,21.98,-8.79,-13.19,0.0,0.0
0.0,0.0,17.58,-8.79,-8.79,0.0,0.0
8.79,-8.79,13.19,-8.79,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-6.59,0.0,0.0,0.0,0.0,8.79
8.79,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,21.98,-21.98,0.0,8.79,-8.79
-8.79,0.0,17.58,-17.58,0.0,0.0,0.0
0.0,0.0,13.19,-13.19,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,8.79,-8.79,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.98,-21.98,0.0,0.0,0.0,0.0,0.0
17.58,-17.58,0.0,0.0,0.0,0.0,0.0
-8.79,-13.19,0.0,0.0,0.0,0.0,8.79
-8.79,-8.79,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.79,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,8.79,-8.79,0.0,8.79
-6.59,0.0,26.37,-30.77,0.0,0.0,0.0
-8.79,0.0,26.37,-30.77,0.0,0.0,0.0
0.0,0.0,26.37,-26.37,0.0,0.0,10.99
8.79,-8.79,21.98,-21.98,0.0,0.0,6.59
8.79,0.0,8.79,-17.58,0.0,0.0,0.0
0.0,0.0,8.79,-13.19,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,10.99,-10.99,0.0,0.0,0.0,0.0
-8.79,6.59,-6.59,0.0,0.0,0.0,0.0
0.0,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,10.99,-10.99,0.0,0.0,8.79
-19.78,-8.79,8.79,-8.79,0.0,0.0,0.0
-13.19,-10.99,0.0,0.0,0.0,0.0,0.0
-13.19,-6.59,8.79,-8.79,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,8.79,-8.79,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.99,-10.99,0.0,0.0,0.0
-10.99,0.0,6.59,-6.59,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,118.68,-46.15,-41.76,-6.59,21.98
-6.59,26.37,87.91,-46.15,-41.76,-6.59,21.98
-6.59,26.37,87.91,-46.15,-41.76,-6.59,21.98
-6.59,26.37,87.91,-46.15,-41.76,-6.59,21.98
-6.59,26.37,87.91,-46.15,-41.76,-6.59,21.98
0.0,24.18,87.91,-46.15,-41.76,-6.59,21.98
-6.59,24.18,87.91,-46.15,-41.76,-6.59,21.98
-6.59,24.18,87.91,-46.15,-41.76,-6.59,21.98
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
-17.58,19.78,13.19,-6.59,-19.78,-35.16,6.59
