slope01,slope12,slope23,slope34,slope45,slope56,slope67
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-39.56,6.59
-6.59,-41.76,54.95,-6.59,-15.38,-37.36,0.0
-6.59,-41.76,54.95,-6.59,-15.38,-32.97,0.0
-6.59,-37.36,50.55,-6.59,-15.38,-28.57,0.0
-6.59,-32.97,46.15,-6.59,-15.38,-15.38,-8.79
-6.59,-28.57,41.76,-6.59,-15.38,-15.38,0.0
-6.59,-24.18,37.36,-6.59,-15.38,-15.38,0.0
-6.59,-19.78,32.97,-6.59,-15.38,-10.99,0.0
-6.59,-6.59,19.78,-6.59,-15.38,-6.59,0.0
-6.59,-6.59,19.78,-6.59,-15.38,0.0,0.0
0.0,0.0,10.99,-6.59,-13.19,0.0,0.0
0.0,0.0,10.99,-6.59,-8.79,10.99,-10.99
0.0,10.99,0.0,-6.59,0.0,6.59,-6.59
-10.99,8.79,0.0,-6.59,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,8.79,-8.79,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,-10.99,8.79,-8.79,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.99,-10.99,0.0
0.0,-10.99,0.0,0.0,6.59,-6.59,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,10.99
0.0,0.0,0.0,0.0,0.0,0.0,6.59
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,8.79,-8.79,10.99,-10.99
6.59,-10.99,10.99,-6.59,0.0,6.59,-6.59
0.0,-6.59,6.59,-6.59,0.0,0.0,0.0
6.59,-10.99,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,8.79,-8.79,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,-8.79,0.0,0.0,0.0
10.99,-10.99,24.18,-13.19,-10.99,0.0,0.0
21.98,-21.98,19.78,-13.19,-6.59,0.0,0.0
17.58,-8.79,6.59,-13.19,0.0,0.0,0.0
0.0,-8.79,6.59,-10.99,0.0,0.0,0.0
0.0,-8.79,6.59,-6.59,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
15.38,-21.98,8.79,-8.79,0.0,0.0,0.0
15.38,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.79,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
15.38,-21.98,0.0,0.0,0.0,0.0,0.0
6.59,-17.58,0.0,0.0,0.0,0.0,0.0
0.0,-13.19,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.99,24.18,101.1,-48.35,-32.97,-26.37,32.97
6.59,28.57,76.92,-50.55,-32.97,-15.38,32.97
6.59,28.57,76.92,-50.55,-32.97,-15.38,32.97
0.0,28.57,76.92,-50.55,-32.97,-15.38,32.97
0.0,28.57,76.92,-50.55,-32.97,-15.38,32.97
0.0,28.57,76.92,-50.55,-30.77,-17.58,32.97
0.0,28.57,76.92,-50.55,-30.77,-17.58,32.97
-8.79,28.57,76.92,-50.55,-30.77,-17.58,32.97
-13.19,17.58,76.92,-50.55,-28.57,-19.78,32.97
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
-6.59,-35.16,48.35,-8.79,-13.19,-32.97,-6.59
