slope01,slope12,slope23,slope34,slope45,slope56,slope67
-21.98,0.0,-61.54,-43.96,13.19,-15.38,10.99
-19.78,0.0,-65.93,-15.38,-6.59,-21.98,21.98
-19.78,0.0,-63.74,-26.37,-6.59,-6.59,6.59
-19.78,15.38,-83.52,-26.37,-6.59,0.0,13.19
-24.18,15.38,-83.52,-26.37,-6.59,0.0,13.19
-21.98,6.59,-83.52,-26.37,-6.59,0.0,13.19
-24.18,6.59,-79.12,-30.77,0.0,-10.99,13.19
-19.78,0.0,-57.14,-32.97,0.0,-13.19,0.0
-19.78,0.0,-57.14,-32.97,0.0,-13.19,17.58
-24.18,0.0,-57.14,-32.97,0.0,0.0,8.79
-21.98,-6.59,-59.34,-30.77,0.0,0.0,8.79
-21.98,0.0,-65.93,-35.16,0.0,0.0,8.79
-24.18,0.0,-65.93,-35.16,0.0,0.0,10.99
-28.57,0.0,-54.95,-43.96,0.0,8.79,0.0
-28.57,0.0,-54.95,-30.77,0.0,0.0,0.0
-19.78,-6.59,-59.34,-30.77,0.0,0.0,0.0
-15.38,0.0,-70.33,-19.78,-8.79,0.0,8.79
-13.19,0.0,-54.95,-30.77,-10.99,0.0,8.79
-6.59,-15.38,-54.95,-28.57,0.0,-8.79,24.18
-13.19,0.0,-74.73,-21.98,-6.59,0.0,24.18
-8.79,0.0,-65.93,-30.77,0.0,-8.79,19.78
-8.79,0.0,-59.34,-32.97,13.19,-10.99,0.0
-21.98,0.0,-59.34,-26.37,6.59,-10.99,0.0
-19.78,-6.59,-61.54,-26.37,6.59,-10.99,8.79
-19.78,0.0,-68.13,-26.37,6.59,-8.79,21.98
-19.78,0.0,-68.13,-24.18,0.0,0.0,17.58
-13.19,0.0,-65.93,-35.16,0.0,10.99,0.0
-21.98,8.79,-70.33,-30.77,0.0,6.59,0.0
-13.19,6.59,-65.93,-37.36,8.79,0.0,0.0
-15.38,0.0,-65.93,-32.97,8.79,0.0,6.59
-19.78,-8.79,-50.55,-43.96,0.0,0.0,10.99
-24.18,0.0,-57.14,-39.56,0.0,10.99,0.0
-21.98,0.0,-65.93,-26.37,-8.79,6.59,15.38
-17.58,0.0,-59.34,-26.37,0.0,0.0,8.79
-19.78,0.0,-61.54,-28.57,0.0,0.0,15.38
-19.78,0.0,-63.74,-19.78,-8.79,0.0,15.38
-19.78,0.0,-63.74,-19.78,0.0,0.0,0.0
-17.58,0.0,-63.74,-19.78,0.0,0.0,0.0
-15.38,-10.99,-68.13,-21.98,10.99,0.0,0.0
-15.38,-6.59,-72.53,-6.59,0.0,0.0,13.19
-15.38,0.0,-83.52,0.0,0.0,0.0,13.19
-15.38,0.0,-83.52,0.0,0.0,6.59,0.0
-19.78,0.0,-72.53,-15.38,-8.79,6.59,0.0
-21.98,0.0,-72.53,-15.38,0.0,8.79,0.0
-21.98,0.0,-72.53,-15.38,8.79,0.0,6.59
-13.19,-6.59,-79.12,-10.99,0.0,0.0,10.99
-15.38,0.0,-74.73,-13.19,-8.79,8.79,0.0
-19.78,0.0,-70.33,-17.58,0.0,0.0,0.0
-19.78,0.0,-72.53,-17.58,0.0,0.0,10.99
-6.59,-6.59,-72.53,-21.98,0.0,0.0,10.99
-13.19,-6.59,-59.34,-35.16,0.0,0.0,24.18
-13.19,-6.59,-59.34,-30.77,0.0,0.0,19.78
-13.19,-6.59,-59.34,-26.37,10.99,-10.99,15.38
-21.98,6.59,-65.93,-28.57,6.59,-6.59,10.99
-19.78,8.79,-68.13,-35.16,0.0,8.79,0.0
-24.18,8.79,-68.13,-30.77,0.0,6.59,0.0
-21.98,8.79,-70.33,-26.37,0.0,10.99,0.0
0.0,0.0,-85.71,-21.98,0.0,6.59,15.38
-6.59,13.19,-85.71,-19.78,0.0,-8.79,19.78
-10.99,17.58,-90.11,-19.78,0.0,0.0,6.59
-10.99,17.58,-90.11,-19.78,0.0,0.0,6.59
-10.99,17.58,-90.11,-15.38,10.99,-8.79,8.79
0.0,13.19,-79.12,-26.37,0.0,0.0,0.0
-10.99,13.19,-79.12,-26.37,0.0,0.0,0.0
-10.99,13.19,-79.12,-26.37,0.0,0.0,15.38
-10.99,13.19,-76.92,-13.19,-10.99,10.99,6.59
-6.59,19.78,-76.92,-30.77,-6.59,6.59,15.38
-10.99,24.18,-87.91,-30.77,0.0,0.0,15.38
-10.99,28.57,-92.31,-28.57,0.0,10.99,10.99
-8.79,26.37,-81.32,-26.37,-8.79,6.59,17.58
-6.59,17.58,-79.12,-26.37,-8.79,0.0,19.78
-26.37,8.79,-72.53,-28.57,-8.79,10.99,6.59
