slope01,slope12,slope23,slope34,slope45,slope56,slope67
-8.79,0.0,-6.59,0.0,0.0,0.0,0.0
-6.59,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-10.99,0.0,0.0,0.0,10.99
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-46.15,32.97,-19.78,-13.19,6.59,-6.59,6.59
-37.36,24.18,-19.78,-6.59,0.0,-6.59,6.59
-37.36,24.18,-19.78,-6.59,0.0,0.0,0.0
-28.57,15.38,-19.78,-6.59,0.0,0.0,0.0
-28.57,15.38,-19.78,0.0,0.0,0.0,0.0
-28.57,15.38,-17.58,0.0,0.0,0.0,0.0
-26.37,13.19,-13.19,0.0,0.0,0.0,0.0
-21.98,8.79,-8.79,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-37.36,13.19,-24.18,0.0,10.99,0.0,0.0
-37.36,13.19,-19.78,0.0,6.59,0.0,0.0
-28.57,0.0,-15.38,0.0,0.0,0.0,0.0
-26.37,0.0,-10.99,0.0,0.0,0.0,0.0
-26.37,0.0,-6.59,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,-10.99,0.0,8.79,-8.79
-13.19,0.0,0.0,-6.59,0.0,0.0,0.0
-21.98,-6.59,-13.19,-13.19,13.19,-13.19,0.0
-21.98,-6.59,-13.19,-13.19,13.19,-13.19,6.59
-21.98,-6.59,-13.19,-13.19,13.19,-13.19,6.59
-21.98,-6.59,-13.19,-8.79,8.79,-8.79,0.0
-21.98,-6.59,-13.19,0.0,0.0,0.0,8.79
-19.78,-8.79,-13.19,0.0,0.0,0.0,0.0
-19.78,-8.79,-8.79,0.0,0.0,0.0,0.0
-10.99,-17.58,0.0,0.0,0.0,0.0,0.0
-8.79,-19.78,0.0,0.0,-10.99,0.0,0.0
8.79,-37.36,0.0,0.0,-6.59,0.0,10.99
8.79,-37.36,0.0,0.0,0.0,0.0,6.59
8.79,-32.97,0.0,0.0,0.0,0.0,0.0
6.59,-19.78,-8.79,0.0,0.0,0.0,0.0
6.59,-19.78,0.0,0.0,0.0,0.0,0.0
6.59,-19.78,0.0,0.0,0.0,0.0,0.0
-6.59,-41.76,10.99,-10.99,8.79,-8.79,8.79
0.0,-39.56,0.0,-6.59,0.0,0.0,0.0
0.0,-35.16,-6.59,0.0,0.0,0.0,8.79
0.0,-35.16,0.0,0.0,0.0,0.0,0.0
0.0,-35.16,0.0,0.0,0.0,0.0,0.0
0.0,-30.77,0.0,0.0,0.0,0.0,0.0
0.0,-26.37,0.0,0.0,0.0,0.0,0.0
0.0,-21.98,0.0,0.0,0.0,0.0,0.0
-37.36,-26.37,24.18,-24.18,0.0,0.0,-10.99
-37.36,-26.37,24.18,-24.18,0.0,0.0,-6.59
-37.36,-26.37,24.18,-24.18,0.0,0.0,0.0
-37.36,-24.18,21.98,-21.98,0.0,0.0,0.0
-37.36,-19.78,17.58,-17.58,0.0,0.0,0.0
-37.36,-6.59,13.19,-10.99,0.0,0.0,0.0
-37.36,0.0,8.79,-10.99,0.0,0.0,0.0
-37.36,0.0,8.79,-10.99,0.0,0.0,0.0
-59.34,8.79,13.19,-21.98,-6.59,0.0,0.0
-59.34,8.79,13.19,-21.98,-6.59,0.0,0.0
-59.34,8.79,13.19,-21.98,-6.59,0.0,0.0
-59.34,8.79,13.19,-21.98,-6.59,0.0,0.0
-59.34,8.79,13.19,-21.98,-6.59,0.0,0.0
-57.14,6.59,13.19,-21.98,-6.59,0.0,0.0
-52.75,0.0,13.19,-21.98,0.0,0.0,0.0
-48.35,0.0,13.19,-19.78,0.0,0.0,0.0
-39.56,-6.59,0.0,0.0,6.59,-17.58,0.0
-39.56,-6.59,0.0,0.0,6.59,-17.58,0.0
