slope01,slope12,slope23,slope34,slope45,slope56,slope67
0.0,0.0,-83.52,-8.79,8.79,-10.99,10.99
0.0,0.0,-83.52,-6.59,6.59,0.0,0.0
-15.38,0.0,-83.52,0.0,0.0,0.0,0.0
-6.59,-19.78,-81.32,0.0,0.0,0.0,0.0
-10.99,-19.78,-76.92,8.79,-8.79,0.0,0.0
-8.79,-21.98,-72.53,0.0,0.0,10.99,0.0
-13.19,-21.98,-68.13,0.0,0.0,6.59,0.0
-8.79,-30.77,-63.74,0.0,0.0,0.0,8.79
-10.99,-30.77,-59.34,0.0,0.0,0.0,8.79
-15.38,-30.77,-54.95,8.79,-8.79,0.0,0.0
-10.99,-39.56,-50.55,0.0,0.0,0.0,0.0
-6.59,-50.55,-46.15,0.0,0.0,0.0,0.0
-8.79,-50.55,-41.76,8.79,-8.79,8.79,0.0
-13.19,-57.14,-37.36,0.0,0.0,0.0,0.0
-13.19,-59.34,-41.76,8.79,0.0,-10.99,8.79
-13.19,-59.34,-41.76,0.0,0.0,-6.59,0.0
-13.19,-63.74,-37.36,8.79,-6.59,0.0,0.0
-13.19,-68.13,-24.18,0.0,6.59,-10.99,10.99
-13.19,-61.54,-30.77,0.0,6.59,-6.59,6.59
0.0,-61.54,-41.76,8.79,0.0,-10.99,10.99
0.0,-65.93,-37.36,0.0,0.0,-6.59,6.59
0.0,-59.34,-41.76,0.0,0.0,0.0,0.0
-6.59,-63.74,-37.36,8.79,-8.79,0.0,0.0
-6.59,-68.13,-35.16,0.0,6.59,-10.99,0.0
0.0,-74.73,-35.16,0.0,24.18,-24.18,0.0
0.0,-83.52,-30.77,8.79,10.99,-8.79,-10.99
0.0,-83.52,-26.37,0.0,19.78,-17.58,0.0
0.0,-85.71,-21.98,8.79,13.19,-19.78,8.79
15.38,-96.7,-17.58,0.0,13.19,-17.58,8.79
13.19,-103.3,-13.19,8.79,13.19,-21.98,8.79
6.59,-105.49,0.0,13.19,0.0,-13.19,13.19
0.0,-79.12,-30.77,13.19,0.0,-13.19,13.19
0.0,-72.53,-37.36,13.19,0.0,-13.19,13.19
-8.79,-72.53,-24.18,0.0,10.99,-13.19,0.0
-6.59,-76.92,-24.18,15.38,0.0,-17.58,6.59
-6.59,-81.32,-24.18,15.38,17.58,-35.16,10.99
0.0,-72.53,-41.76,13.19,17.58,-19.78,0.0
0.0,-76.92,-37.36,21.98,0.0,-19.78,0.0
8.79,-81.32,-32.97,17.58,17.58,-24.18,0.0
13.19,-85.71,-28.57,21.98,13.19,-28.57,17.58
13.19,-74.73,-35.16,35.16,0.0,-28.57,17.58
19.78,-83.52,-30.77,30.77,0.0,-19.78,6.59
13.19,-87.91,-26.37,26.37,0.0,-19.78,6.59
6.59,-92.31,-21.98,24.18,0.0,-21.98,21.98
0.0,-70.33,-43.96,35.16,-13.19,-21.98,17.58
-6.59,-72.53,-41.76,30.77,0.0,-28.57,13.19
0.0,-76.92,-15.38,0.0,0.0,-24.18,10.99
0.0,-74.73,-17.58,0.0,0.0,-21.98,6.59
0.0,-70.33,-24.18,0.0,0.0,-21.98,0.0
0.0,-70.33,-24.18,0.0,0.0,-17.58,10.99
0.0,-70.33,-24.18,0.0,0.0,-13.19,6.59
-15.38,-52.75,-41.76,0.0,0.0,-8.79,0.0
-19.78,-57.14,-37.36,0.0,0.0,0.0,10.99
-24.18,-57.14,-32.97,0.0,0.0,0.0,6.59
-21.98,-59.34,-28.57,0.0,0.0,0.0,0.0
-21.98,-59.34,-24.18,0.0,0.0,0.0,0.0
-21.98,-59.34,-19.78,0.0,0.0,0.0,10.99
-21.98,-59.34,-15.38,0.0,0.0,0.0,6.59
-21.98,-59.34,-10.99,0.0,0.0,0.0,0.0
-21.98,-59.34,-6.59,0.0,0.0,0.0,0.0
-21.98,-59.34,0.0,0.0,0.0,0.0,0.0
-21.98,-57.14,0.0,0.0,0.0,0.0,0.0
-21.98,-52.75,0.0,0.0,0.0,0.0,0.0
-21.98,-48.35,0.0,0.0,0.0,0.0,0.0
-21.98,-43.96,0.0,0.0,0.0,0.0,0.0
-21.98,-39.56,0.0,0.0,0.0,0.0,8.79
-21.98,-35.16,0.0,0.0,0.0,0.0,0.0
-21.98,-30.77,0.0,0.0,0.0,0.0,0.0
-21.98,-26.37,0.0,0.0,0.0,0.0,0.0
-21.98,-21.98,0.0,0.0,0.0,0.0,0.0
-21.98,-17.58,0.0,0.0,0.0,0.0,0.0
-21.98,-13.19,0.0,0.0,0.0,0.0,0.0
-21.98,-8.79,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,-8.79,0.0,0.0,8.79,-8.79,0.0
-8.79,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-24.18,-54.95,-21.98,8.79,0.0,0.0,-10.99
-19.78,0.0,-61.54,-17.58,0.0,0.0,0.0
-8.79,-10.99,-61.54,-19.78,0.0,0.0,0.0
0.0,-8.79,-59.34,-30.77,0.0,0.0,0.0
0.0,-10.99,-59.34,-30.77,0.0,6.59,0.0
0.0,0.0,-59.34,-15.38,-21.98,6.59,0.0
6.59,-8.79,-43.96,-30.77,-8.79,-6.59,8.79
6.59,-10.99,-41.76,-35.16,-8.79,0.0,10.99
6.59,-10.99,-41.76,-35.16,0.0,-10.99,8.79
0.0,-10.99,-41.76,-30.77,0.0,0.0,-6.59
-6.59,0.0,-50.55,-32.97,6.59,0.0,0.0
0.0,-10.99,-50.55,-32.97,8.79,-6.59,8.79
0.0,-17.58,-54.95,-28.57,8.79,-8.79,8.79
0.0,-28.57,-43.96,-26.37,15.38,-24.18,10.99
0.0,-35.16,-39.56,-30.77,17.58,-10.99,0.0
13.19,-39.56,-28.57,-26.37,0.0,-10.99,0.0
6.59,-43.96,-28.57,-21.98,-8.79,0.0,0.0
10.99,-48.35,-28.57,-21.98,0.0,-10.99,0.0
