slope01,slope12,slope23,slope34,slope45,slope56,slope67
0.0,46.15,-6.59,-39.56,-6.59,0.0,-6.59
0.0,46.15,-6.59,-39.56,-6.59,0.0,0.0
0.0,43.96,-6.59,-39.56,-6.59,0.0,0.0
0.0,43.96,-6.59,-39.56,-6.59,0.0,0.0
8.79,35.16,-6.59,-39.56,-6.59,0.0,8.79
72.53,-17.58,-30.77,-35.16,-10.99,0.0,0.0
72.53,-17.58,-30.77,-32.97,13.19,-10.99,0.0
72.53,-17.58,-30.77,-32.97,13.19,-10.99,0.0
72.53,-17.58,-30.77,-21.98,0.0,-10.99,0.0
72.53,-17.58,-30.77,-17.58,0.0,-8.79,0.0
72.53,-17.58,-26.37,-19.78,13.19,-21.98,10.99
68.13,-17.58,19.78,-48.35,0.0,-21.98,10.99
41.76,-17.58,19.78,-48.35,0.0,-17.58,10.99
37.36,-17.58,19.78,-48.35,0.0,-13.19,8.79
37.36,-17.58,19.78,-48.35,0.0,-8.79,0.0
37.36,-17.58,19.78,-48.35,0.0,0.0,0.0
37.36,-17.58,19.78,-48.35,0.0,0.0,0.0
37.36,-17.58,19.78,-43.96,0.0,0.0,0.0
37.36,-17.58,19.78,-39.56,0.0,10.99,-10.99
8.79,-17.58,19.78,-35.16,0.0,6.59,-6.59
8.79,-17.58,19.78,-30.77,0.0,0.0,0.0
8.79,-17.58,19.78,-26.37,8.79,-8.79,8.79
8.79,-8.79,24.18,-24.18,0.0,-10.99,10.99
8.79,19.78,0.0,-24.18,0.0,-6.59,6.59
13.19,6.59,0.0,-24.18,0.0,8.79,-8.79
13.19,6.59,0.0,-21.98,0.0,6.59,-6.59
6.59,6.59,0.0,-17.58,10.99,-8.79,0.0
32.97,-32.97,0.0,-15.38,0.0,-6.59,0.0
32.97,-32.97,0.0,-15.38,0.0,0.0,0.0
28.57,-10.99,-13.19,-6.59,0.0,-21.98,8.79
28.57,-10.99,-8.79,-10.99,0.0,-17.58,0.0
21.98,-10.99,-8.79,-10.99,0.0,-13.19,0.0
21.98,-10.99,-8.79,-10.99,0.0,-8.79,0.0
61.54,-10.99,-21.98,-32.97,0.0,0.0,0.0
59.34,-8.79,0.0,-50.55,0.0,0.0,0.0
43.96,-8.79,0.0,-46.15,0.0,-6.59,6.59
43.96,-8.79,0.0,-46.15,0.0,-6.59,6.59
43.96,-8.79,0.0,-46.15,6.59,-8.79,0.0
43.96,-8.79,0.0,-43.96,8.79,-8.79,0.0
43.96,-8.79,0.0,-39.56,0.0,0.0,0.0
43.96,-8.79,0.0,-35.16,0.0,0.0,0.0
39.56,-8.79,0.0,-30.77,0.0,0.0,0.0
13.19,-8.79,0.0,-26.37,0.0,0.0,0.0
13.19,-8.79,0.0,-21.98,0.0,0.0,0.0
13.19,-8.79,0.0,-17.58,0.0,8.79,-8.79
13.19,-8.79,0.0,0.0,-10.99,0.0,6.59
28.57,0.0,-19.78,-10.99,-10.99,8.79,0.0
28.57,0.0,-19.78,-10.99,-6.59,21.98,-13.19
19.78,0.0,-10.99,-19.78,8.79,6.59,-6.59
15.38,0.0,-10.99,-17.58,6.59,6.59,-6.59
15.38,0.0,-10.99,-13.19,0.0,6.59,-6.59
127.47,-72.53,13.19,-57.14,-10.99,10.99,17.58
61.54,-72.53,13.19,-52.75,-10.99,6.59,17.58
61.54,-70.33,10.99,-50.55,13.19,-13.19,10.99
61.54,-70.33,10.99,-50.55,13.19,-13.19,10.99
61.54,-35.16,-24.18,-28.57,-8.79,-13.19,10.99
61.54,-35.16,-15.38,-37.36,0.0,0.0,-10.99
61.54,-35.16,-15.38,-37.36,0.0,0.0,-10.99
61.54,-35.16,-15.38,-37.36,0.0,0.0,0.0
61.54,-35.16,-15.38,-37.36,0.0,0.0,0.0
61.54,-35.16,-15.38,-37.36,0.0,0.0,0.0
61.54,-35.16,-15.38,-32.97,0.0,0.0,0.0
61.54,-35.16,-15.38,-28.57,0.0,0.0,0.0
61.54,-35.16,-15.38,-24.18,0.0,0.0,0.0
61.54,-35.16,-15.38,-19.78,0.0,0.0,0.0
54.95,-35.16,6.59,-37.36,8.79,-8.79,0.0
37.36,-35.16,21.98,-39.56,0.0,-10.99,10.99
37.36,-28.57,15.38,-35.16,15.38,-24.18,6.59
37.36,0.0,-13.19,-19.78,0.0,-10.99,0.0
37.36,0.0,-13.19,-19.78,0.0,-10.99,0.0
32.97,0.0,-13.19,-19.78,0.0,-10.99,0.0
32.97,0.0,-13.19,-19.78,0.0,-6.59,0.0
26.37,0.0,-13.19,-19.78,0.0,0.0,0.0
26.37,0.0,-13.19,-19.78,0.0,0.0,0.0
26.37,0.0,-13.19,-15.38,0.0,0.0,0.0
21.98,0.0,-13.19,-10.99,0.0,0.0,0.0
8.79,0.0,0.0,-21.98,0.0,0.0,0.0
19.78,0.0,32.97,-50.55,0.0,-8.79,10.99
15.38,0.0,32.97,-48.35,0.0,0.0,8.79
8.79,0.0,32.97,-43.96,-8.79,0.0,0.0
10.99,19.78,6.59,-13.19,-35.16,10.99,-10.99
8.79,19.78,6.59,-13.19,-30.77,6.59,-6.59
8.79,19.78,6.59,-13.19,-26.37,10.99,-10.99
21.98,6.59,6.59,-13.19,-21.98,6.59,-6.59
35.16,-10.99,6.59,-13.19,-17.58,0.0,0.0
46.15,-48.35,6.59,-13.19,-13.19,0.0,10.99
46.15,-48.35,6.59,-13.19,-8.79,0.0,6.59
37.36,-48.35,6.59,-13.19,0.0,0.0,0.0
43.96,-19.78,19.78,-19.78,-32.97,-8.79,10.99
43.96,-6.59,6.59,-19.78,-26.37,-10.99,10.99
43.96,-6.59,6.59,-19.78,-26.37,-6.59,6.59
39.56,-6.59,6.59,-19.78,-26.37,0.0,0.0
39.56,-6.59,6.59,-19.78,-24.18,0.0,0.0
30.77,-6.59,6.59,-19.78,-19.78,0.0,0.0
30.77,-6.59,6.59,-19.78,-15.38,0.0,0.0
8.79,-6.59,6.59,-19.78,-10.99,0.0,0.0
