slope01,slope12,slope23,slope34,slope45,slope56,slope67
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.59,-8.79,0.0,0.0,0.0,0.0,8.79
0.0,6.59,-10.99,0.0,0.0,0.0,0.0
10.99,0.0,-6.59,0.0,0.0,0.0,0.0
6.59,0.0,0.0,-10.99,0.0,0.0,0.0
-6.59,0.0,0.0,-6.59,0.0,0.0,0.0
0.0,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.98,-21.98,0.0,0.0,0.0
0.0,-21.98,17.58,-17.58,0.0,0.0,0.0
0.0,-17.58,13.19,-13.19,0.0,0.0,0.0
0.0,-13.19,8.79,0.0,-10.99,0.0,0.0
0.0,-8.79,0.0,0.0,-6.59,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,10.99,-10.99,0.0,0.0,8.79
0.0,0.0,6.59,-6.59,0.0,0.0,0.0
-10.99,8.79,-6.59,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.79,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,13.19,-21.98,0.0,0.0,0.0,0.0
0.0,13.19,-17.58,0.0,0.0,0.0,0.0
8.79,0.0,-13.19,0.0,0.0,0.0,0.0
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.99,13.19,112.09,-50.55,-32.97,-15.38,26.37
15.38,17.58,87.91,-50.55,-32.97,-15.38,26.37
15.38,24.18,81.32,-50.55,-32.97,-15.38,26.37
15.38,24.18,81.32,-50.55,-32.97,-15.38,26.37
13.19,24.18,81.32,-50.55,-32.97,-15.38,26.37
13.19,24.18,81.32,-50.55,-32.97,-15.38,26.37
13.19,17.58,81.32,-50.55,-32.97,-15.38,26.37
8.79,17.58,81.32,-50.55,-32.97,-15.38,26.37
0.0,0.0,0.0,0.0,-19.78,-54.95,46.15
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
-6.59,-24.18,32.97,0.0,-10.99,-52.75,26.37
