slope01,slope12,slope23,slope34,slope45,slope56,slope67
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
6.59,-6.59,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.99,-10.99,0.0,0.0,0.0,0.0,0.0
6.59,-6.59,0.0,0.0,0.0,8.79,-8.79
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,10.99
-10.99,8.79,-8.79,0.0,10.99,-10.99,10.99
-6.59,0.0,0.0,0.0,6.59,-6.59,6.59
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,8.79
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.99,-10.99
0.0,0.0,0.0,0.0,0.0,6.59,-6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,8.79,-8.79,0.0,10.99,-10.99
0.0,-8.79,10.99,-10.99,0.0,6.59,-6.59
0.0,19.78,0.0,-15.38,0.0,10.99,-10.99
17.58,0.0,13.19,-17.58,-13.19,6.59,-6.59
0.0,0.0,13.19,-17.58,-8.79,10.99,-10.99
17.58,-6.59,-13.19,-10.99,0.0,0.0,6.59
28.57,-17.58,0.0,-26.37,0.0,-10.99,6.59
54.95,-43.96,0.0,-19.78,0.0,0.0,0.0
57.14,-46.15,19.78,-19.78,0.0,-13.19,0.0
52.75,-21.98,21.98,-28.57,0.0,-15.38,-13.19
52.75,-21.98,21.98,-24.18,0.0,-8.79,-13.19
41.76,-21.98,13.19,-24.18,0.0,-8.79,0.0
41.76,-21.98,13.19,-24.18,0.0,-8.79,0.0
41.76,-21.98,13.19,-24.18,0.0,-8.79,0.0
28.57,-15.38,6.59,0.0,-15.38,-10.99,0.0
28.57,10.99,-8.79,0.0,-13.19,-24.18,10.99
28.57,19.78,-10.99,-6.59,-13.19,-8.79,0.0
39.56,6.59,-10.99,-6.59,-13.19,-8.79,0.0
39.56,6.59,-10.99,-6.59,-13.19,-8.79,0.0
39.56,6.59,-10.99,-6.59,-13.19,-8.79,0.0
28.57,6.59,-10.99,-6.59,-13.19,-8.79,0.0
28.57,6.59,-10.99,-6.59,-13.19,-8.79,0.0
28.57,6.59,-10.99,-6.59,-13.19,-8.79,0.0
28.57,6.59,-8.79,-8.79,-13.19,-8.79,0.0
24.18,6.59,-8.79,-8.79,-13.19,-8.79,0.0
24.18,6.59,-8.79,-8.79,-13.19,0.0,0.0
24.18,6.59,-8.79,-8.79,-13.19,0.0,0.0
19.78,6.59,-8.79,-8.79,-8.79,0.0,0.0
21.98,15.38,-24.18,-8.79,0.0,0.0,0.0
17.58,15.38,-21.98,-10.99,0.0,0.0,0.0
13.19,15.38,-21.98,-6.59,0.0,0.0,0.0
0.0,15.38,-21.98,0.0,0.0,0.0,0.0
0.0,15.38,-19.78,0.0,0.0,0.0,0.0
-8.79,15.38,-15.38,0.0,0.0,0.0,0.0
0.0,10.99,-10.99,0.0,0.0,0.0,0.0
10.99,0.0,-6.59,0.0,0.0,0.0,0.0
6.59,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.79,-8.79,10.99,-10.99
8.79,-8.79,0.0,0.0,0.0,6.59,-6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.79,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
-24.18,0.0,41.76,-41.76,0.0,0.0,0.0
-8.79,0.0,39.56,-28.57,-10.99,0.0,0.0
19.78,6.59,6.59,-37.36,-6.59,0.0,0.0
24.18,21.98,0.0,-26.37,-15.38,-19.78,8.79
24.18,21.98,0.0,-26.37,-10.99,-21.98,8.79
10.99,21.98,0.0,-26.37,-10.99,-17.58,0.0
10.99,21.98,0.0,-26.37,-10.99,-13.19,0.0
10.99,21.98,0.0,-26.37,-10.99,-8.79,0.0
13.19,19.78,0.0,-26.37,-10.99,0.0,0.0
6.59,19.78,0.0,-26.37,0.0,-10.99,0.0
6.59,19.78,0.0,-26.37,0.0,-6.59,0.0
8.79,17.58,0.0,-26.37,0.0,0.0,0.0
10.99,13.19,0.0,-13.19,-10.99,0.0,0.0
-13.19,0.0,0.0,-10.99,0.0,13.19,-10.99
